"County","Region","Med_HH_Income","Households","Pct_BB","Pct_College","Land_area","Density","Density_2","Density_3"
"Anderson","East",55414,30973,85.6,24.4,337,91.9080118694362,"High density","High density"
"Bedford","Middle",55354,17904,82.4,18,474,37.7721518987342,"High density","Intermediate density"
"Benton","West",40258,6509,73.3,12.1,394,16.5203045685279,"Low density","Low density"
"Bledsoe","East",51884,4901,78.4,11.1,407,12.041769041769,"Low density","Low density"
"Blount","East",64593,52337,84,25.4,559,93.6261180679785,"High density","High density"
"Bradley","East",55426,40948,85.1,22.9,329,124.462006079027,"High density","High density"
"Campbell","East",46110,15744,70.8,13.2,480,32.8,"High density","Intermediate density"
"Cannon","Middle",54223,5671,73.3,15,266,21.3195488721805,"Low density","Intermediate density"
"Carroll","West",44794,10988,73.7,20.3,598,18.3745819397993,"Low density","Low density"
"Carter","East",44280,23547,75.5,19.5,341,69.0527859237537,"High density","High density"
"Cheatham","Middle",69132,15366,83.9,22,303,50.7128712871287,"High density","High density"
"Chester","West",52692,6108,80.3,17,286,21.3566433566434,"Low density","Intermediate density"
"Claiborne","East",41938,13410,67.8,18.3,435,30.8275862068966,"High density","Intermediate density"
"Clay","Middle",38709,2973,72,13.1,237,12.5443037974684,"Low density","Low density"
"Cocke","East",41558,14339,72.9,12.3,436,32.8876146788991,"High density","Intermediate density"
"Coffee","Middle",52626,22417,73.4,22.8,429,52.2540792540793,"High density","High density"
"Crockett","West",52136,5387,80.1,15.5,266,20.2518796992481,"Low density","Low density"
"Cumberland","Middle",52630,26523,84.5,17.3,681,38.9471365638767,"High density","Intermediate density"
"Davidson","Middle",66047,293859,90,44.4,504,583.053571428571,"High density","High density"
"Decatur","West",43817,4375,75.3,15.8,334,13.0988023952096,"Low density","Low density"
"DeKalb","Middle",45728,8023,75.9,19.5,304,26.3914473684211,"Low density","Intermediate density"
"Dickson","Middle",61388,19663,82.7,18.5,490,40.1285714285714,"High density","Intermediate density"
"Dyer","West",50245,14659,83.6,20.2,512,28.630859375,"Low density","Intermediate density"
"Fayette","West",69729,15932,84.5,23.6,705,22.5985815602837,"Low density","Intermediate density"
"Fentress","Middle",43464,7443,75.8,16,499,14.9158316633267,"Low density","Low density"
"Franklin","Middle",52189,16467,72.4,21.7,554,29.7238267148014,"High density","Intermediate density"
"Gibson","West",49615,19436,81.8,18.2,603,32.2321724709784,"High density","Intermediate density"
"Giles","Middle",54061,11395,80.9,18.3,611,18.6497545008183,"Low density","Low density"
"Grainger","East",44917,9343,71.5,14,281,33.2491103202847,"High density","Intermediate density"
"Greene","East",47361,27468,74.3,17,622,44.1607717041801,"High density","High density"
"Grundy","Middle",45150,4833,74.4,14.8,360,13.425,"Low density","Low density"
"Hamblen","East",45275,24471,83.9,18,161,151.993788819876,"High density","High density"
"Hamilton","East",61050,147419,86.4,34.1,542,271.990774907749,"High density","High density"
"Hancock","East",29650,2852,63,11.1,222,12.8468468468468,"Low density","Low density"
"Hardeman","West",41138,9058,72.5,11.4,668,13.559880239521,"Low density","Low density"
"Hardin","West",45092,10787,80.1,16.2,577,18.6949740034662,"Low density","Low density"
"Hawkins","East",49101,22777,79.1,16.2,487,46.7700205338809,"High density","High density"
"Haywood","West",39952,7118,68.1,11.8,533,13.3545966228893,"Low density","Low density"
"Henderson","West",47885,10823,78.8,13.6,520,20.8134615384615,"Low density","Low density"
"Henry","West",43444,12938,77.5,18.1,562,23.0213523131673,"Low density","Intermediate density"
"Hickman","Middle",48527,8736,71.6,10.1,612,14.2745098039216,"Low density","Low density"
"Houston","Middle",46535,2860,75.6,13.2,200,14.3,"Low density","Low density"
"Humphreys","Middle",49745,6688,79.1,15.8,531,12.5951035781544,"Low density","Low density"
"Jackson","Middle",41890,4523,69.5,13.2,309,14.6375404530744,"Low density","Low density"
"Jefferson","East",54371,20419,78.4,19.2,275,74.2509090909091,"High density","High density"
"Johnson","East",42552,6859,71.6,13.6,298,23.0167785234899,"Low density","Intermediate density"
"Knox","East",62911,192077,85.7,38.8,508,378.104330708661,"High density","High density"
"Lake","West",34923,2071,72.8,11.5,166,12.4759036144578,"Low density","Low density"
"Lauderdale","West",43025,9144,77.8,9.2,472,19.3728813559322,"Low density","Low density"
"Lawrence","Middle",45721,16483,78.1,15.9,617,26.7147487844408,"Low density","Intermediate density"
"Lewis","Middle",38664,4842,66.1,9.9,282,17.1702127659574,"Low density","Low density"
"Lincoln","Middle",57455,14032,71.2,19.2,570,24.6175438596491,"Low density","Intermediate density"
"Loudon","East",66151,21801,84.3,28.2,229,95.2008733624454,"High density","High density"
"McMinn","East",51253,21163,83.2,17.9,430,49.2162790697674,"High density","High density"
"McNairy","West",42691,9818,79.8,12,563,17.4387211367673,"Low density","Low density"
"Macon","Middle",43605,9266,78.9,8.9,307,30.1824104234528,"High density","Intermediate density"
"Madison","West",51526,38699,84.1,27,557,69.4775583482944,"High density","High density"
"Marion","East",53148,11718,77.5,14,498,23.5301204819277,"Low density","Intermediate density"
"Marshall","Middle",60036,12718,83.6,17.7,375,33.9146666666667,"High density","Intermediate density"
"Maury","Middle",66353,38532,87,25.4,613,62.858075040783,"High density","High density"
"Meigs","East",54420,5129,78.9,10.8,195,26.3025641025641,"Low density","Intermediate density"
"Monroe","East",48488,18574,81.5,15.3,636,29.2044025157233,"High density","Intermediate density"
"Montgomery","Middle",63768,77460,90.3,29.9,539,143.710575139147,"High density","High density"
"Moore","Middle",64926,2475,71.2,23,129,19.1860465116279,"Low density","Low density"
"Morgan","East",45133,7110,76.7,11.2,522,13.6206896551724,"Low density","Low density"
"Obion","West",45606,12526,78.7,15.4,545,22.9834862385321,"Low density","Intermediate density"
"Overton","Middle",39737,8731,69,12.9,433,20.1639722863741,"Low density","Low density"
"Perry","Middle",51786,3052,65.8,9.1,415,7.35421686746988,"Low density","Low density"
"Pickett","Middle",42931,2161,73.9,15.9,163,13.2576687116564,"Low density","Low density"
"Polk","East",49446,7006,77.5,14.2,435,16.1057471264368,"Low density","Low density"
"Putnam","Middle",49228,31933,81.8,26.6,401,79.6334164588529,"High density","High density"
"Rhea","East",48872,12756,85,17.7,315,40.4952380952381,"High density","High density"
"Roane","East",60044,21773,83.5,21.2,361,60.3130193905817,"High density","High density"
"Robertson","Middle",67597,26536,85.1,20.1,476,55.7478991596639,"High density","High density"
"Rutherford","Middle",72985,118955,91.1,33.5,619,192.172859450727,"High density","High density"
"Scott","East",38409,8533,68.3,9.7,532,16.0394736842105,"Low density","Low density"
"Sequatchie","East",47835,5866,76.5,15.9,266,22.0526315789474,"Low density","Intermediate density"
"Sevier","East",54363,36817,80.5,18.8,592,62.1908783783784,"High density","High density"
"Shelby","West",55015,354736,82.2,33.3,761,466.144546649146,"High density","High density"
"Smith","Middle",52018,7473,82.6,17.3,314,23.7993630573248,"Low density","Intermediate density"
"Stewart","Middle",51460,5091,78.9,20.2,460,11.0673913043478,"Low density","Low density"
"Sullivan","East",49661,67025,83,25.7,413,162.28813559322,"High density","High density"
"Sumner","Middle",73517,72638,89.8,29.8,529,137.31190926276,"High density","High density"
"Tipton","West",63783,21860,80.1,18.7,456,47.9385964912281,"High density","High density"
"Trousdale","Middle",58274,3349,76.1,9.5,114,29.3771929824561,"High density","Intermediate density"
"Unicoi","East",47610,7583,76.3,16,186,40.7688172043011,"High density","High density"
"Union","East",50868,7411,69.5,11.8,224,33.0848214285714,"High density","Intermediate density"
"Van Buren","Middle",44444,2412,74.9,10,273,8.83516483516484,"Low density","Low density"
"Warren","Middle",46189,15790,75.9,14.3,433,36.4665127020785,"High density","Intermediate density"
"Washington","East",52503,54913,84.5,33.1,327,167.929663608563,"High density","High density"
"Wayne","Middle",45402,5671,77,11.4,734,7.72615803814714,"Low density","Low density"
"Weakley","West",43773,13213,74.1,21.3,580,22.7810344827586,"Low density","Intermediate density"
"White","Middle",44777,10306,78.3,13.4,377,27.3368700265252,"Low density","Intermediate density"
"Williamson","Middle",116492,85311,95,61.9,583,146.331046312178,"High density","High density"
"Wilson","Middle",82224,52983,88,35.9,571,92.7898423817863,"High density","High density"
