"State","Votes.to.allocate","Unallocated","Biden","Trump"
"AK",3,0,0,3
"AL",9,0,0,9
"AR",6,0,0,6
"AZ",11,0,11,0
"CA",55,0,55,0
"CO",9,0,9,0
"CT",7,0,7,0
"DC",3,0,3,0
"DE",3,0,3,0
"FL",29,0,0,29
"GA",16,0,16,0
"HI",4,0,4,0
"IA",6,0,0,6
"ID",4,0,0,4
"IL",20,0,20,0
"IN",11,0,0,11
"KS",6,0,0,6
"KY",8,0,0,8
"LA",8,0,0,8
"MA",11,0,11,0
"MD",10,0,10,0
"ME",4,0,3,1
"MI",16,0,16,0
"MN",10,0,10,0
"MO",10,0,0,10
"MS",6,0,0,6
"MT",3,0,0,3
"NC",15,0,0,15
"ND",3,0,0,3
"NE",5,0,1,4
"NH",4,0,4,0
"NJ",14,0,14,0
"NM",5,0,5,0
"NV",6,0,6,0
"NY",29,0,29,0
"OH",18,0,0,18
"OK",7,0,0,7
"OR",7,0,7,0
"PA",20,0,20,0
"RI",4,0,4,0
"SC",9,0,0,9
"SD",3,0,0,3
"TN",11,0,0,11
"TX",38,0,0,38
"UT",6,0,0,6
"VA",13,0,13,0
"VT",3,0,3,0
"WA",12,0,12,0
"WI",10,0,10,0
"WV",5,0,0,5
"WY",3,0,0,3
